cfg_id,ED_PATH,HEL_WORK,BONUS_PCT,DON_STYLE,MOM_GIFT_USE,FX_SCENARIO,RISK_BAND,prob_shortfall_year1,prob_shortfall_year5,prob_shortfall_10yr,cashflow_volatility_10yr,var_95_year1,var_95_10yr_avg,min_cushion_p10,min_cushion_median,prob_insolvency_10yr,expected_shortfall
CFG_A,McGill,Part‑time,0.0,0,0,Base,1,0.07,0.0,0.071,0.6666322698583179,-4994.616319365251,-2129.583571297659,-22331.930938569752,-6215.060379996263,0.0,-5204.950448921989
CFG_B,McGill,Part‑time,0.0,0,0,Base,2,0.07,0.0,0.071,0.6666322698583179,-4994.616319365251,-2129.583571297659,-22331.930938569752,-6215.060379996263,0.0,-5204.950448921989
CFG_C,McGill,Part‑time,0.0,0,0,Base,3,0.07,0.0,0.071,0.6666322698583179,-4994.616319365251,-2129.583571297659,-22331.930938569752,-6215.060379996263,0.0,-5204.950448921989
CFG_D,McGill,Part‑time,0.0,0,0,Stress,1,0.07,0.0,0.071,0.6666322698583179,-4994.616319365251,-2129.583571297659,-22331.930938569752,-6215.060379996263,0.0,-5204.950448921989
CFG_E,McGill,Part‑time,0.0,0,0,Stress,2,0.07,0.0,0.071,0.6666322698583179,-4994.616319365251,-2129.583571297659,-22331.930938569752,-6215.060379996263,0.0,-5204.950448921989
CFG_F,McGill,Part‑time,0.0,0,0,Stress,3,0.07,0.0,0.071,0.6666322698583179,-4994.616319365251,-2129.583571297659,-22331.930938569752,-6215.060379996263,0.0,-5204.950448921989
CFG_G,McGill,Part‑time,0.0,0,1,Base,1,0.07,0.0,0.071,0.6666322698583179,-4994.616319365251,-2129.583571297659,-22331.930938569752,-6215.060379996263,0.0,-5204.950448921989
CFG_H,McGill,Part‑time,0.0,0,1,Base,2,0.07,0.0,0.071,0.6666322698583179,-4994.616319365251,-2129.583571297659,-22331.930938569752,-6215.060379996263,0.0,-5204.950448921989
CFG_I,McGill,Part‑time,0.0,0,1,Base,3,0.07,0.0,0.071,0.6666322698583179,-4994.616319365251,-2129.583571297659,-22331.930938569752,-6215.060379996263,0.0,-5204.950448921989
CFG_J,McGill,Part‑time,0.0,0,1,Stress,1,0.07,0.0,0.071,0.6666322698583179,-4994.616319365251,-2129.583571297659,-22331.930938569752,-6215.060379996263,0.0,-5204.950448921989
CFG_K,McGill,Part‑time,0.0,0,1,Stress,2,0.07,0.0,0.071,0.6666322698583179,-4994.616319365251,-2129.583571297659,-22331.930938569752,-6215.060379996263,0.0,-5204.950448921989
CFG_L,McGill,Part‑time,0.0,0,1,Stress,3,0.07,0.0,0.071,0.6666322698583179,-4994.616319365251,-2129.583571297659,-22331.930938569752,-6215.060379996263,0.0,-5204.950448921989
CFG_M,McGill,Part‑time,0.0,1,0,Base,1,0.0,0.0,0.006999999999999999,0.4157770604651076,20005.38368063475,22870.416428702338,-219134.8113364827,-187611.3732024571,0.0,-229439.51385890038
CFG_N,McGill,Part‑time,0.0,1,0,Base,2,0.0,0.0,0.006999999999999999,0.4157770604651076,20005.38368063475,22870.416428702338,-219134.8113364827,-187611.3732024571,0.0,-229439.51385890038
CFG_O,McGill,Part‑time,0.0,1,0,Base,3,0.0,0.0,0.006999999999999999,0.4157770604651076,20005.38368063475,22870.416428702338,-219134.8113364827,-187611.3732024571,0.0,-229439.51385890038
CFG_P,McGill,Part‑time,0.0,1,0,Stress,1,0.0,0.0,0.006999999999999999,0.4157770604651076,20005.38368063475,22870.416428702338,-219134.8113364827,-187611.3732024571,0.0,-229439.51385890038
CFG_Q,McGill,Part‑time,0.0,1,0,Stress,2,0.0,0.0,0.006999999999999999,0.4157770604651076,20005.38368063475,22870.416428702338,-219134.8113364827,-187611.3732024571,0.0,-229439.51385890038
CFG_R,McGill,Part‑time,0.0,1,0,Stress,3,0.0,0.0,0.006999999999999999,0.4157770604651076,20005.38368063475,22870.416428702338,-219134.8113364827,-187611.3732024571,0.0,-229439.51385890038
CFG_S,McGill,Part‑time,0.0,1,1,Base,1,0.0,0.0,0.006999999999999999,0.4157770604651076,20005.38368063475,22870.416428702338,-219134.8113364827,-187611.3732024571,0.0,-229439.51385890038
CFG_T,McGill,Part‑time,0.0,1,1,Base,2,0.0,0.0,0.006999999999999999,0.4157770604651076,20005.38368063475,22870.416428702338,-219134.8113364827,-187611.3732024571,0.0,-229439.51385890038
CFG_U,McGill,Part‑time,0.0,1,1,Base,3,0.0,0.0,0.006999999999999999,0.4157770604651076,20005.38368063475,22870.416428702338,-219134.8113364827,-187611.3732024571,0.0,-229439.51385890038
CFG_V,McGill,Part‑time,0.0,1,1,Stress,1,0.0,0.0,0.006999999999999999,0.4157770604651076,20005.38368063475,22870.416428702338,-219134.8113364827,-187611.3732024571,0.0,-229439.51385890038
CFG_W,McGill,Part‑time,0.0,1,1,Stress,2,0.0,0.0,0.006999999999999999,0.4157770604651076,20005.38368063475,22870.416428702338,-219134.8113364827,-187611.3732024571,0.0,-229439.51385890038
CFG_X,McGill,Part‑time,0.0,1,1,Stress,3,0.0,0.0,0.006999999999999999,0.4157770604651076,20005.38368063475,22870.416428702338,-219134.8113364827,-187611.3732024571,0.0,-229439.51385890038
CFG_Y,McGill,Part‑time,0.0,2,0,Base,1,1.0,0.0,0.10700000000000001,0.3931300825854068,-229994.61631936525,-2129.583571297657,-215667.98774956987,-174764.37487138069,0.0,-229994.61631936525
CFG_Z,McGill,Part‑time,0.0,2,0,Base,2,1.0,0.0,0.10700000000000001,0.3931300825854068,-229994.61631936525,-2129.583571297657,-215667.98774956987,-174764.37487138069,0.0,-229994.61631936525
CFG_AA,McGill,Part‑time,0.0,2,0,Base,3,1.0,0.0,0.10700000000000001,0.3931300825854068,-229994.61631936525,-2129.583571297657,-215667.98774956987,-174764.37487138069,0.0,-229994.61631936525
CFG_AB,McGill,Part‑time,0.0,2,0,Stress,1,1.0,0.0,0.10700000000000001,0.3931300825854068,-229994.61631936525,-2129.583571297657,-215667.98774956987,-174764.37487138069,0.0,-229994.61631936525
CFG_AC,McGill,Part‑time,0.0,2,0,Stress,2,1.0,0.0,0.10700000000000001,0.3931300825854068,-229994.61631936525,-2129.583571297657,-215667.98774956987,-174764.37487138069,0.0,-229994.61631936525
CFG_AD,McGill,Part‑time,0.0,2,0,Stress,3,1.0,0.0,0.10700000000000001,0.3931300825854068,-229994.61631936525,-2129.583571297657,-215667.98774956987,-174764.37487138069,0.0,-229994.61631936525
CFG_AK,McGill,Part‑time,0.1,0,0,Base,1,0.0,0.0,0.027000000000000003,0.5217221619625164,6326.76309245463,9993.928857193288,-11123.852287356109,5150.731302007021,0.0,-982.2012083165363
